Frame,Compared_To,RMSD,Category
1,Frame 1,0.000000,<=2 Å
1,Frame 2,0.000000,<=2 Å
2,Frame 1,0.000000,<=2 Å
2,Frame 2,0.000000,<=2 Å
3,Frame 1,2.308597,2-3 Å
3,Frame 2,2.308597,2-3 Å
4,Frame 1,2.166696,2-3 Å
4,Frame 2,2.166696,2-3 Å
5,Frame 1,2.238443,2-3 Å
5,Frame 2,2.238443,2-3 Å
6,Frame 1,2.437304,2-3 Å
6,Frame 2,2.437304,2-3 Å
7,Frame 1,2.245797,2-3 Å
7,Frame 2,2.245797,2-3 Å
8,Frame 1,2.361336,2-3 Å
8,Frame 2,2.361336,2-3 Å
9,Frame 1,2.455697,2-3 Å
9,Frame 2,2.455697,2-3 Å
10,Frame 1,2.118081,2-3 Å
10,Frame 2,2.118081,2-3 Å
11,Frame 1,2.524855,2-3 Å
11,Frame 2,2.524855,2-3 Å
12,Frame 1,2.334218,2-3 Å
12,Frame 2,2.334218,2-3 Å
13,Frame 1,2.153034,2-3 Å
13,Frame 2,2.153034,2-3 Å
14,Frame 1,2.250203,2-3 Å
14,Frame 2,2.250203,2-3 Å
15,Frame 1,2.247501,2-3 Å
15,Frame 2,2.247501,2-3 Å
16,Frame 1,2.276732,2-3 Å
16,Frame 2,2.276732,2-3 Å
17,Frame 1,2.298133,2-3 Å
17,Frame 2,2.298133,2-3 Å
18,Frame 1,2.585036,2-3 Å
18,Frame 2,2.585036,2-3 Å
19,Frame 1,2.474108,2-3 Å
19,Frame 2,2.474108,2-3 Å
20,Frame 1,2.507813,2-3 Å
20,Frame 2,2.507813,2-3 Å
21,Frame 1,2.379646,2-3 Å
21,Frame 2,2.379646,2-3 Å
22,Frame 1,2.341547,2-3 Å
22,Frame 2,2.341547,2-3 Å
23,Frame 1,2.511493,2-3 Å
23,Frame 2,2.511493,2-3 Å
24,Frame 1,2.400737,2-3 Å
24,Frame 2,2.400737,2-3 Å
25,Frame 1,2.508663,2-3 Å
25,Frame 2,2.508663,2-3 Å
26,Frame 1,2.724130,2-3 Å
26,Frame 2,2.724130,2-3 Å
27,Frame 1,2.538924,2-3 Å
27,Frame 2,2.538924,2-3 Å
28,Frame 1,2.450702,2-3 Å
28,Frame 2,2.450702,2-3 Å
29,Frame 1,2.773154,2-3 Å
29,Frame 2,2.773154,2-3 Å
30,Frame 1,2.945603,2-3 Å
30,Frame 2,2.945603,2-3 Å
31,Frame 1,2.723695,2-3 Å
31,Frame 2,2.723695,2-3 Å
32,Frame 1,2.850438,2-3 Å
32,Frame 2,2.850438,2-3 Å
33,Frame 1,2.758316,2-3 Å
33,Frame 2,2.758316,2-3 Å
34,Frame 1,2.794221,2-3 Å
34,Frame 2,2.794221,2-3 Å
35,Frame 1,2.730830,2-3 Å
35,Frame 2,2.730830,2-3 Å
36,Frame 1,2.661147,2-3 Å
36,Frame 2,2.661147,2-3 Å
37,Frame 1,2.710136,2-3 Å
37,Frame 2,2.710136,2-3 Å
38,Frame 1,2.955212,2-3 Å
38,Frame 2,2.955212,2-3 Å
39,Frame 1,2.902107,2-3 Å
39,Frame 2,2.902107,2-3 Å
40,Frame 1,2.850738,2-3 Å
40,Frame 2,2.850738,2-3 Å
41,Frame 1,2.880810,2-3 Å
41,Frame 2,2.880810,2-3 Å
42,Frame 1,2.912517,2-3 Å
42,Frame 2,2.912517,2-3 Å
43,Frame 1,2.890487,2-3 Å
43,Frame 2,2.890487,2-3 Å
44,Frame 1,2.906351,2-3 Å
44,Frame 2,2.906351,2-3 Å
45,Frame 1,2.902645,2-3 Å
45,Frame 2,2.902645,2-3 Å
46,Frame 1,2.996864,2-3 Å
46,Frame 2,2.996864,2-3 Å
47,Frame 1,2.915816,2-3 Å
47,Frame 2,2.915816,2-3 Å
48,Frame 1,2.925165,2-3 Å
48,Frame 2,2.925165,2-3 Å
49,Frame 1,2.836787,2-3 Å
49,Frame 2,2.836787,2-3 Å
50,Frame 1,2.780059,2-3 Å
50,Frame 2,2.780059,2-3 Å
51,Frame 1,2.759236,2-3 Å
51,Frame 2,2.759236,2-3 Å
52,Frame 1,2.662546,2-3 Å
52,Frame 2,2.662546,2-3 Å
53,Frame 1,2.995701,2-3 Å
53,Frame 2,2.995701,2-3 Å
54,Frame 1,2.945375,2-3 Å
54,Frame 2,2.945375,2-3 Å
55,Frame 1,2.869341,2-3 Å
55,Frame 2,2.869341,2-3 Å
56,Frame 1,3.082540,3-4 Å
56,Frame 2,3.082540,3-4 Å
57,Frame 1,2.915930,2-3 Å
57,Frame 2,2.915930,2-3 Å
58,Frame 1,2.890627,2-3 Å
58,Frame 2,2.890627,2-3 Å
59,Frame 1,2.946821,2-3 Å
59,Frame 2,2.946821,2-3 Å
60,Frame 1,2.930499,2-3 Å
60,Frame 2,2.930499,2-3 Å
61,Frame 1,2.945652,2-3 Å
61,Frame 2,2.945652,2-3 Å
62,Frame 1,2.887221,2-3 Å
62,Frame 2,2.887221,2-3 Å
63,Frame 1,3.046559,3-4 Å
63,Frame 2,3.046559,3-4 Å
64,Frame 1,2.905488,2-3 Å
64,Frame 2,2.905488,2-3 Å
65,Frame 1,2.857672,2-3 Å
65,Frame 2,2.857672,2-3 Å
66,Frame 1,3.258789,3-4 Å
66,Frame 2,3.258789,3-4 Å
67,Frame 1,2.900623,2-3 Å
67,Frame 2,2.900623,2-3 Å
68,Frame 1,3.207382,3-4 Å
68,Frame 2,3.207382,3-4 Å
69,Frame 1,3.005248,3-4 Å
69,Frame 2,3.005248,3-4 Å
70,Frame 1,2.857106,2-3 Å
70,Frame 2,2.857106,2-3 Å
71,Frame 1,2.705896,2-3 Å
71,Frame 2,2.705896,2-3 Å
72,Frame 1,2.850333,2-3 Å
72,Frame 2,2.850333,2-3 Å
73,Frame 1,3.178269,3-4 Å
73,Frame 2,3.178269,3-4 Å
74,Frame 1,2.880241,2-3 Å
74,Frame 2,2.880241,2-3 Å
75,Frame 1,3.155002,3-4 Å
75,Frame 2,3.155002,3-4 Å
76,Frame 1,2.822287,2-3 Å
76,Frame 2,2.822287,2-3 Å
77,Frame 1,2.852640,2-3 Å
77,Frame 2,2.852640,2-3 Å
78,Frame 1,3.112817,3-4 Å
78,Frame 2,3.112817,3-4 Å
79,Frame 1,3.098435,3-4 Å
79,Frame 2,3.098435,3-4 Å
80,Frame 1,3.105266,3-4 Å
80,Frame 2,3.105266,3-4 Å
81,Frame 1,3.345075,3-4 Å
81,Frame 2,3.345075,3-4 Å
82,Frame 1,3.141816,3-4 Å
82,Frame 2,3.141816,3-4 Å
83,Frame 1,3.125653,3-4 Å
83,Frame 2,3.125653,3-4 Å
84,Frame 1,3.359189,3-4 Å
84,Frame 2,3.359189,3-4 Å
85,Frame 1,3.486349,3-4 Å
85,Frame 2,3.486349,3-4 Å
86,Frame 1,3.154281,3-4 Å
86,Frame 2,3.154281,3-4 Å
87,Frame 1,3.342277,3-4 Å
87,Frame 2,3.342277,3-4 Å
88,Frame 1,3.378165,3-4 Å
88,Frame 2,3.378165,3-4 Å
89,Frame 1,3.062284,3-4 Å
89,Frame 2,3.062284,3-4 Å
90,Frame 1,3.321749,3-4 Å
90,Frame 2,3.321749,3-4 Å
91,Frame 1,2.966348,2-3 Å
91,Frame 2,2.966348,2-3 Å
92,Frame 1,2.998015,2-3 Å
92,Frame 2,2.998015,2-3 Å
93,Frame 1,3.045249,3-4 Å
93,Frame 2,3.045249,3-4 Å
94,Frame 1,2.929562,2-3 Å
94,Frame 2,2.929562,2-3 Å
95,Frame 1,2.985358,2-3 Å
95,Frame 2,2.985358,2-3 Å
96,Frame 1,2.981493,2-3 Å
96,Frame 2,2.981493,2-3 Å
97,Frame 1,2.981142,2-3 Å
97,Frame 2,2.981142,2-3 Å
98,Frame 1,3.224340,3-4 Å
98,Frame 2,3.224340,3-4 Å
99,Frame 1,3.218111,3-4 Å
99,Frame 2,3.218111,3-4 Å
100,Frame 1,3.253919,3-4 Å
100,Frame 2,3.253919,3-4 Å
101,Frame 1,3.087651,3-4 Å
101,Frame 2,3.087651,3-4 Å
102,Frame 1,3.236664,3-4 Å
102,Frame 2,3.236664,3-4 Å
103,Frame 1,3.075420,3-4 Å
103,Frame 2,3.075420,3-4 Å
104,Frame 1,3.261336,3-4 Å
104,Frame 2,3.261336,3-4 Å
105,Frame 1,3.184041,3-4 Å
105,Frame 2,3.184041,3-4 Å
106,Frame 1,2.986019,2-3 Å
106,Frame 2,2.986019,2-3 Å
107,Frame 1,2.886333,2-3 Å
107,Frame 2,2.886333,2-3 Å
108,Frame 1,2.852754,2-3 Å
108,Frame 2,2.852754,2-3 Å
109,Frame 1,3.097985,3-4 Å
109,Frame 2,3.097985,3-4 Å
110,Frame 1,2.974602,2-3 Å
110,Frame 2,2.974602,2-3 Å
111,Frame 1,2.993997,2-3 Å
111,Frame 2,2.993997,2-3 Å
112,Frame 1,3.005573,3-4 Å
112,Frame 2,3.005573,3-4 Å
113,Frame 1,2.984511,2-3 Å
113,Frame 2,2.984511,2-3 Å
114,Frame 1,3.061164,3-4 Å
114,Frame 2,3.061164,3-4 Å
115,Frame 1,2.869799,2-3 Å
115,Frame 2,2.869799,2-3 Å
116,Frame 1,2.911904,2-3 Å
116,Frame 2,2.911904,2-3 Å
117,Frame 1,3.146846,3-4 Å
117,Frame 2,3.146846,3-4 Å
118,Frame 1,2.872090,2-3 Å
118,Frame 2,2.872090,2-3 Å
119,Frame 1,3.056183,3-4 Å
119,Frame 2,3.056183,3-4 Å
120,Frame 1,3.182761,3-4 Å
120,Frame 2,3.182761,3-4 Å
121,Frame 1,3.018337,3-4 Å
121,Frame 2,3.018337,3-4 Å
122,Frame 1,3.114431,3-4 Å
122,Frame 2,3.114431,3-4 Å
123,Frame 1,3.047527,3-4 Å
123,Frame 2,3.047527,3-4 Å
124,Frame 1,3.091763,3-4 Å
124,Frame 2,3.091763,3-4 Å
125,Frame 1,3.031250,3-4 Å
125,Frame 2,3.031250,3-4 Å
126,Frame 1,3.131395,3-4 Å
126,Frame 2,3.131395,3-4 Å
127,Frame 1,3.122154,3-4 Å
127,Frame 2,3.122154,3-4 Å
128,Frame 1,3.157484,3-4 Å
128,Frame 2,3.157484,3-4 Å
129,Frame 1,3.030737,3-4 Å
129,Frame 2,3.030737,3-4 Å
130,Frame 1,3.298763,3-4 Å
130,Frame 2,3.298763,3-4 Å
131,Frame 1,2.975501,2-3 Å
131,Frame 2,2.975501,2-3 Å
132,Frame 1,3.170517,3-4 Å
132,Frame 2,3.170517,3-4 Å
133,Frame 1,3.232338,3-4 Å
133,Frame 2,3.232338,3-4 Å
134,Frame 1,3.300170,3-4 Å
